timestamp,heart_rate,timestamp_16
,88,7328
2020-06-01 02:33:00,95,7448
2020-06-01 02:34:00,93,7508
2020-06-01 02:35:00,89,7568
2020-06-01 02:36:00,91,7628
2020-06-01 02:38:00,92,7748
2020-06-01 02:42:00,91,7988
2020-06-01 02:43:00,90,8048
2020-06-01 02:44:00,100,8108
2020-06-01 02:45:00,96,8168
2020-06-01 02:46:00,84,8228
2020-06-01 02:47:00,78,8288
2020-06-01 02:48:00,77,8348
2020-06-01 02:49:00,78,8408
2020-06-01 02:50:00,77,8468
2020-06-01 02:52:00,88,8588
2020-06-01 02:54:00,80,8708
2020-06-01 02:55:00,84,8768
2020-06-01 02:56:00,82,8828
2020-06-01 02:57:00,83,8888
2020-06-01 02:58:00,82,8948
2020-06-01 02:59:00,81,9008
2020-06-01 03:00:00,74,9068
2020-06-01 03:01:00,73,9128
2020-06-01 03:02:00,72,9188
2020-06-01 03:05:00,69,9368
2020-06-01 03:08:00,68,9548
2020-06-01 03:09:00,69,9608
2020-06-01 03:10:00,68,9668
2020-06-01 03:11:00,70,9728
2020-06-01 03:12:00,69,9788
2020-06-01 03:13:00,70,9848
2020-06-01 03:14:00,69,9908
2020-06-01 03:15:00,68,9968
2020-06-01 03:16:00,75,10028
2020-06-01 03:17:00,89,10088
2020-06-01 03:18:00,87,10148
2020-06-01 03:19:00,80,10208
2020-06-01 03:20:00,70,10268
2020-06-01 03:21:00,69,10328
2020-06-01 03:22:00,70,10388
2020-06-01 03:24:00,69,10508
2020-06-01 03:35:00,70,11168
2020-06-01 03:36:00,69,11228
2020-06-01 03:37:00,81,11288
2020-06-01 03:38:00,75,11348
2020-06-01 03:39:00,71,11408
2020-06-01 03:40:00,87,11468
2020-06-01 03:41:00,79,11528
2020-06-01 03:42:00,71,11588
2020-06-01 03:43:00,69,11648
2020-06-01 03:45:00,70,11768
2020-06-01 03:46:00,69,11828
2020-06-01 03:48:00,68,11948
2020-06-01 03:50:00,69,12068
2020-06-01 03:54:00,68,12308
2020-06-01 03:55:00,69,12368
2020-06-01 03:56:00,71,12428
2020-06-01 03:57:00,81,12488
2020-06-01 03:58:00,84,12548
2020-06-01 03:59:00,76,12608
2020-06-01 04:00:00,79,12668
2020-06-01 04:01:00,70,12728
2020-06-01 04:02:00,75,12788
2020-06-01 04:03:00,84,12848
2020-06-01 04:04:00,75,12908
2020-06-01 04:05:00,70,12968
2020-06-01 04:06:00,69,13028
2020-06-01 04:09:00,79,13208
2020-06-01 04:11:00,72,13328
2020-06-01 04:12:00,69,13388
2020-06-01 04:13:00,68,13448
2020-06-01 04:14:00,72,13508
2020-06-01 04:15:00,83,13568
2020-06-01 04:16:00,74,13628
2020-06-01 04:17:00,70,13688
2020-06-01 04:18:00,68,13748
2020-06-01 04:19:00,78,13808
2020-06-01 04:20:00,85,13868
2020-06-01 04:21:00,78,13928
2020-06-01 04:22:00,74,13988
2020-06-01 04:23:00,84,14048
2020-06-01 04:24:00,76,14108
2020-06-01 04:25:00,70,14168
2020-06-01 04:27:00,69,14288
2020-06-01 04:28:00,68,14348
2020-06-01 04:29:00,70,14408
2020-06-01 04:30:00,80,14468
2020-06-01 04:31:00,75,14528
2020-06-01 04:32:00,69,14588
2020-06-01 04:33:00,68,14648
2020-06-01 04:34:00,67,14708
2020-06-01 04:35:00,86,14768
2020-06-01 04:36:00,85,14828
2020-06-01 04:37:00,72,14888
2020-06-01 04:38:00,70,14948
2020-06-01 04:39:00,77,15008
2020-06-01 04:40:00,79,15068
2020-06-01 04:41:00,73,15128
2020-06-01 04:42:00,72,15188
2020-06-01 04:43:00,84,15248
