Time,Heart Rate
10:23:00,77
10:24:00,72
10:25:00,58
10:26:00,59
10:27:00,61
10:28:00,71
10:29:00,73
10:30:00,80
10:31:00,90
10:32:00,99
10:33:00,106
10:34:00,110
10:35:00,113
10:36:00,115
10:37:00,115
10:38:00,115
10:39:00,118
10:40:00,113
10:41:00,112
10:42:00,113
10:43:00,110
10:45:00,105
10:46:00,102
10:47:00,99
10:48:00,104
10:49:00,110
10:50:00,107
10:51:00,110
10:52:00,107
10:53:00,103
10:54:00,100
10:55:00,100
10:56:00,107
10:57:00,112
10:58:00,113
10:59:00,104
11:00:00,91
11:01:00,84
11:02:00,76
11:03:00,76
11:04:00,68
11:05:00,61
11:06:00,55
11:07:00,56
11:08:00,70
11:09:00,80
11:10:00,73
11:11:00,54
11:12:00,57
11:13:00,56
11:14:00,58
11:15:00,56
11:16:00,56
11:17:00,57
11:18:00,59
11:19:00,69
11:20:00,78
11:21:00,84
11:22:00,89
11:23:00,99
11:24:00,102
11:25:00,105
11:26:00,111
11:27:00,114
11:28:00,121
11:29:00,129
11:30:00,125
11:31:00,112
11:32:00,103
11:33:00,106
11:34:00,107
11:35:00,113
11:36:00,116
11:37:00,120
11:38:00,122
11:39:00,115
11:40:00,116
11:41:00,120
11:42:00,125
11:43:00,125
11:44:00,119
11:45:00,106
11:46:00,99
11:47:00,95
11:48:00,100
11:49:00,103
11:50:00,109
11:51:00,116
11:52:00,121
11:53:00,125
11:54:00,129
11:55:00,124
11:56:00,115
11:57:00,115
11:58:00,117
11:59:00,115
12:00:00,117
12:01:00,126
12:02:00,125
12:03:00,124
12:04:00,121
12:05:00,117
12:06:00,108
12:07:00,103
12:08:00,104
12:09:00,109
12:10:00,122
12:11:00,130
12:12:00,129
12:13:00,127
12:14:00,126
12:15:00,123
12:16:00,116
12:17:00,119
12:18:00,122
12:19:00,124
12:20:00,99
12:21:00,86
12:22:00,76
12:23:00,71
12:24:00,71
12:25:00,76
12:26:00,91
12:27:00,103
12:28:00,111
12:29:00,123
12:30:00,123
12:31:00,125
12:32:00,121
12:33:00,105
12:34:00,106
12:35:00,106
12:36:00,113
12:37:00,118
12:38:00,116
12:39:00,118
12:40:00,124
12:41:00,130
12:42:00,129
12:43:00,125
12:44:00,126
12:45:00,118
12:46:00,117
12:47:00,121
12:48:00,113
12:49:00,117
12:50:00,123
12:51:00,123
12:52:00,123
